year,table_code,table_name,csv_file,sql_file,sql_column_count
2021,S1901,stg_acs_2021_s1901_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2021\stg_acs_2021_s1901_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2021\01_create_stg_acs_2021_s1901_raw.sql,141
2021,S2301,stg_acs_2021_s2301_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2021\stg_acs_2021_s2301_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2021\01_create_stg_acs_2021_s2301_raw.sql,293
2021,S2401,stg_acs_2021_s2401_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2021\stg_acs_2021_s2401_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2021\01_create_stg_acs_2021_s2401_raw.sql,373
2022,B03002,stg_acs_2022_b03002_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_b03002_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2022\01_create_stg_acs_2022_b03002_raw.sql,55
2022,B19013,stg_acs_2022_b19013_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_b19013_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2022\01_create_stg_acs_2022_b19013_raw.sql,15
2022,B25003,stg_acs_2022_b25003_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_b25003_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2022\01_create_stg_acs_2022_b25003_raw.sql,19
2022,B25070,stg_acs_2022_b25070_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_b25070_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2022\01_create_stg_acs_2022_b25070_raw.sql,35
2022,DP04,stg_acs_2022_dp04_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_dp04_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2022\01_create_stg_acs_2022_dp04_raw.sql,585
2022,S0101,stg_acs_2022_s0101_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_s0101_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2022\01_create_stg_acs_2022_s0101_raw.sql,469
2022,S1101,stg_acs_2022_s1101_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_s1101_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2022\01_create_stg_acs_2022_s1101_raw.sql,203
2022,S1501,stg_acs_2022_s1501_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_s1501_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2022\01_create_stg_acs_2022_s1501_raw.sql,781
